Dataset Name,Link,Topic/Category,Description,Potential Use Cases,Region/Coverage,Time Span,Update Frequency,Data Format/Access,Source/Institution,Authors (if provided),id
Global Capital Allocation Project (GCAP)  Data & Code Repository,https://www.globalcapitalallocation.com/data,International Finance / Capital Flows,"Data and code repository to analyze global capital allocations by country, currency, and asset class; includes datasets linking traded securities to issuers ultimate parents (incl. tax-haven structures) and multiple replication packages.",Cross-border portfolio holdings and currency denomination studies; tax-haven and offshore finance research; replication of GCAP papers and teaching modules,"Global (includes Euro Area, China/offshore, U.S. fund holdings modules, etc.)",Varies by dataset and paper (see README files on the data hub),Irregular (new datasets/releases posted to the data hub),ZIP/TAR archives; XLS/DTA files; GitHub code repositories; README documentation,The Global Capital Allocation Project (GCAP),Matteo Maggiori; Jesse Schreger; Antonio Coppola; Hannah Firestone (and coauthors by dataset),53
SEC EDGAR (Electronic Filings Database),https://www.sec.gov/search-filings,Regulatory Filings / Firm Fundamentals,"SEC EDGAR provides free public access to corporate filings (e.g., registration statements, prospectuses, 10-K/10-Q/8-K) and search tools, including full-text search for filings since 2001.",Firm fundamental and event research; textual analysis (MD&A/Risk Factors); constructing firm-level disclosure and governance measures,"United States (SEC filers: public companies, funds, insiders, etc.)",Electronic filings mandated starting in early 1993; full-text search coverage since 2001,Continuous / real-time as filings are submitted,"Web search & downloads; bulk data feeds; structured data (e.g., XBRL) and APIs via SEC data pages",U.S. Securities and Exchange Commission (SEC),(N/A),54
Organizational Diversity Database (ODD),https://drive.google.com/drive/folders/1qN9jndr5lJBym8nrKhsKbItZnb5dZ5S-?usp=sharing,Labor / Diversity / Firm Demographics,"Open datasets with detailed firm demographic information (race and gender composition, promotion and turnover by race/gender) for 511,382 U.S. firms at the firm-occupation-year level.",Workplace diversity and inequality research; promotion/turnover dynamics; linking DEI measures to firm outcomes and asset prices,United States (firms observed via public LinkedIn profiles),2000-2023,Research release (see SSRN paper for versioning/updates),Downloadable files via Google Drive; accompanying SSRN paper,Organizational Diversity Database project,Letian Zhang; Simeng Wang; Yoon Jae Shin,55
Shiller Data (Robert J. Shiller),https://shillerdata.com/,Asset Pricing / Long-Run Markets / Housing,"Downloadable datasets used by Robert J. Shiller, including monthly U.S. stock price, dividends, earnings, interest rates and CAPE series starting in 1871, plus historical U.S. housing price data (incl. Case-Shiller related series).",Long-run valuation (CAPE) and return predictability; bubble and crash studies; historical housing market research,United States,"Stocks: Jan 1871present (monthly); Housing series: historical (e.g., 1890present, depending on file)",Irregular/periodic (site provides updated downloads),XLS downloads,Robert J. Shiller (Yale University),"Robert J. Shiller (and collaborators for specific series, e.g., Karl Case on housing indices)",56
Joint Organisations Data Initiative (JODI)  Oil & Gas Data,https://www.jodidata.org/,Energy / Commodities / Macroeconomics,"International oil and natural gas statistics portal with downloadable data, documentation, and an update calendar for participating economies.",Oil & gas market monitoring; macro/commodity research; supply-demand and trade flow analysis,Global (participating economies),Varies by series/country (primarily monthly time series),Regular (per JODI release/update calendar),Online database and data downloads,Joint Organisations Data Initiative (JODI) partnership,(N/A),57
U.S. Bureau of Labor Statistics (BLS),https://www.bls.gov/,Labor Economics / Macroeconomic Statistics,"Official U.S. labor statistics (e.g., CPI, employment/unemployment, wages) with multiple data tools and a public data API.",Macro-labor empirical research; inflation and wage dynamics; building macro controls; teaching and replication,United States,Varies by program/series,Scheduled releases (varies by program; many monthly/quarterly),Web tables/tools; Public Data API (JSON),U.S. Department of Labor  Bureau of Labor Statistics,(N/A),58
International Banking Library  Data (curated database portal),https://bankinglibrary.com/data/,Banking / Regulation / Systemic Risk,"Curated portal summarizing and linking to multiple databases for research on international banking (e.g., cross-border banking, bank balance sheets, regulation, systemic risk indicators).",Finding/choosing banking and regulation datasets; literature replication; assembling cross-country banking panels,Global (varies by linked database),Varies by linked database,Irregular (site updates/curation over time),Web portal with links to underlying datasets,International Banking Library,Jan Neumann (site content/curation),59
Global Currencies Database (CEMGCD)  Publications & Datasets,https://globalcurrenciesdatabase.com/publications-datasets/,International Finance / Currency History,"Compilation of historical datasets on the international monetary system, including currency composition of reserves, debt and oil markets, sanctions, invoicing, and exchange rates; some datasets are updated over time.",Reserve currency dominance and transitions; historical international finance; sanctions and exchange-rate research,Global,"Multiple datasets spanning historical periods (e.g., 18902024 for reserve composition series, depending on dataset)",Mixed (some datasets updated regularly; others added over time),Downloadable data files,GlobalCurrenciesDatabase.com,Barry Eichengreen; Arnaud Mehl; Livia Chiţu (and coauthors by dataset),60
Currency Factors (Currency portfolios & FX factor returns),https://www.currencyfactors.com/,Asset Pricing (FX),"Data portal providing currency portfolio excess returns and FX factor returns (gross and net), freely accessible for academic research; accompanied by related working papers.",FX carry/value/momentum factor research; building international risk factors; teaching international asset pricing,"Global currency samples (e.g., G10, G20; plus broader samples defined in the project)",Monthly FX excess returns (sample period varies by file/paper),Regular intervals (project states intent to update as new data are released),Downloads via Google Sheets links,CurrencyFactors.com,Pasquale Della Corte; Steven J. Riddiough,61
FRED Add-In for Microsoft Excel,https://fred.stlouisfed.org/fred-addin/,Macroeconomic Data Tools,Free Excel add-in from the Federal Reserve Bank of St. Louis that enables one-click download and refresh of FRED time series (hundreds of thousands of series from many sources) directly in Excel.,Rapid macro data collection; building teaching datasets; reproducible macro time-series pipelines in Excel,Global (FRED aggregates series from many providers),Varies by series,Varies by series (add-in supports refresh/update),Excel add-in; time-series downloads into spreadsheets,Federal Reserve Bank of St. Louis (FRED),(N/A),62
Julien Pénasse  Data (Measuring Macroeconomic Tail Risk),https://sites.google.com/view/jpenasse/data,Macro Finance / Tail Risk,"Research data linked to “Measuring Macroeconomic Tail Risk” (with Roberto Marfè), including country crisis probabilities (19002019 for 42 countries) and a long-run proxy for the Martin (2017) bound on the equity premium (Jan 1874Dec 2018).",Macro tail risk and crisis prediction; long-run equity premium bounds; cross-country macro-finance panels,42 countries (for crisis probabilities); long-run series for equity premium bound proxy,1900-2019 (crisis probabilities); Jan 1874Dec 2018 (Martin bound proxy),As posted by author (irregular),Replication package (Mendeley) and downloadable data links (Dropbox),Julien Pénasse (personal research site),Julien Pénasse; Roberto Marfè,63
Climate Change Risk Measures (Skiadopoulos et al.),https://sites.google.com/view/george-skiadopoulos/research/selected-publications,Climate Finance / Textual Risk Measures,Daily market-wide climate change risk measures (textual measures based on Reuters climate-related news); includes an updated daily dataset spanning 3 Jan 200029 Dec 2025.,Climate risk pricing in equities; news-based factor construction; risk management and asset management applications,Market-wide measures (developed in the context of U.S. stocks research),3 Jan 2000 - 29 Dec 2025,Daily (updated dataset posted),Google Sheets downloads/links from the author site,George Skiadopoulos (personal research site),George Skiadopoulos; Renato Faccini; Rastin Matin,64
Laurens Swinkels  Data (Global market portfolio & related datasets),https://laurensswinkels.com/data/,Global Asset Allocation / Market Portfolio,"Repository of datasets used in Laurens Swinkels research, including (among others) data for the global multi-asset market portfolio (Doeswijk, Lam & Swinkels) and other return series; some datasets are annually updated.",Global market portfolio construction; benchmarking multi-asset returns; factor premium studies and replication,Global (varies by dataset),"Varies by dataset (e.g., global multi-asset market portfolio series referenced as 1959-2012; others extend further)",Mixed (some datasets annually updated; others static),Download links to datasets (often DOI-linked repositories) and external data repositories,Laurens Swinkels / Erasmus University Rotterdam (via linked repository pages),Laurens Swinkels; Ronald Doeswijk; Trevin Lam (and coauthors by dataset),65
